Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802840721,s,position_lat,406179728,semicircles,position_long,-1412193853,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,122,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840722,s,position_lat,406179740,semicircles,position_long,-1412193863,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,135,watts,heart_rate,122,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840724,s,position_lat,406179755,semicircles,position_long,-1412193874,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,137,watts,heart_rate,123,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840724,s,position_lat,406179764,semicircles,position_long,-1412193877,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,137,watts,heart_rate,123,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840725,s,position_lat,406179775,semicircles,position_long,-1412193883,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,123,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840726,s,position_lat,406179788,semicircles,position_long,-1412193889,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,123,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840727,s,position_lat,406179798,semicircles,position_long,-1412193894,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,124,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840728,s,position_lat,406179809,semicircles,position_long,-1412193898,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,124,bpm,cadence,83,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840729,s,position_lat,406179820,semicircles,position_long,-1412193902,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,143,watts,heart_rate,124,bpm,cadence,84,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840730,s,position_lat,406179831,semicircles,position_long,-1412193906,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,143,watts,heart_rate,124,bpm,cadence,83,rpm,temperature,26,C,,,,,,,,,,
