Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802925313,s,position_lat,406179230,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925314,s,position_lat,406179231,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,102,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925315,s,position_lat,406179232,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925316,s,position_lat,406179233,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,102,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925317,s,position_lat,406179234,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925318,s,position_lat,406179234,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,102,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925319,s,position_lat,406179234,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925320,s,position_lat,406179234,semicircles,position_long,-1412194396,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,102,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925321,s,position_lat,406179234,semicircles,position_long,-1412194396,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,102,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925322,s,position_lat,406179233,semicircles,position_long,-1412194396,semicircles,distance,0.29,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925323,s,position_lat,406179232,semicircles,position_long,-1412194396,semicircles,distance,0.29,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,102,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925324,s,position_lat,406179232,semicircles,position_long,-1412194396,semicircles,distance,0.29,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,102,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925325,s,position_lat,406179230,semicircles,position_long,-1412194397,semicircles,distance,0.3,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,102,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925326,s,position_lat,406179230,semicircles,position_long,-1412194397,semicircles,distance,0.3,m,altitude,58.0,m,speed,0.0,m/s,power,102,watts,heart_rate,103,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925327,s,position_lat,406179229,semicircles,position_long,-1412194397,semicircles,distance,0.3,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,103,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925328,s,position_lat,406179228,semicircles,position_long,-1412194397,semicircles,distance,0.3,m,altitude,58.0,m,speed,0.0,m/s,power,104,watts,heart_rate,104,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925329,s,position_lat,406179227,semicircles,position_long,-1412194397,semicircles,distance,0.31,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,104,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925330,s,position_lat,406179226,semicircles,position_long,-1412194398,semicircles,distance,0.31,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,104,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925331,s,position_lat,406179225,semicircles,position_long,-1412194398,semicircles,distance,0.31,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,104,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
